// Attribute descriptions
"Attrib_ClipSize_Positive"					"+%s1% clip size"
"Attrib_Particle245"			"Startrance"
"Attrib_Particle246"			"Startrance"
"Attrib_Particle247"			"Starlush"
"Attrib_Particle248"			"Starfire"
"Attrib_Particle249"			"Stardust"
"Attrib_Particle250"			"Contagious Eruption"
"Attrib_Particle251"			"Daydream Eruption"
"Attrib_Particle252"			"Volcanic Eruption"
"Attrib_Particle253"			"Divine Sunlight"
"Attrib_Particle254"			"Audiophile"
"Attrib_Particle255"			"Soundwave"
"Attrib_Particle256"			"Synesthesia"

// Weapon Unusual
"Attrib_Particle701"			"Hot"
"Attrib_Particle702"			"Isotope"
"Attrib_Particle703"			"Cool"
"Attrib_Particle704"			"Energy Orb"


// Start Unusual taunt FX
"Attrib_Particle3001"		"Showstopper"
"Attrib_Particle3002"		"Showstopper"
"Attrib_Particle3003"		"Holy Grail"
"Attrib_Particle3004"		"'72"
"Attrib_Particle3005"		"Fountain of Delight"
"Attrib_Particle3006"		"Screaming Tiger"
"Attrib_Particle3007"		"Skill Gotten Gains"
"Attrib_Particle3008"		"Midnight Whirlwind"
"Attrib_Particle3009"		"Silver Cyclone"
"Attrib_Particle3010"		"Mega Strike"

"Attrib_Particle3011"		"Haunted Phantasm"
"Attrib_Particle3012"		"Ghastly Ghosts"
"Attrib_Particle3013"		"Hellish Inferno"
"Attrib_Particle3014"		"Spectral Swirl"
"Attrib_Particle3015"		"Infernal Flames"
"Attrib_Particle3016"		"Infernal Smoke"

// Halloween 2018 Unusual Taunts
"Attrib_Particle3017"		"Acidic Bubbles of Envy"
"Attrib_Particle3018"		"Flammable Bubbles of Attraction"
"Attrib_Particle3019"		"Poisonous Bubbles of Regret"
"Attrib_Particle3020"		"Roaring Rockets"
"Attrib_Particle3021"		"Spooky Night"
"Attrib_Particle3022"		"Ominous Night"

// Halloween 2019 Unusual Taunts
"Attrib_Particle3023"		"Bewitched"
"Attrib_Particle3024"		"Accursed"
"Attrib_Particle3025"		"Enchanted"
"Attrib_Particle3026"		"Static Mist"
"Attrib_Particle3027"		"Eerie Lightning"
"Attrib_Particle3028"		"Terrifying Thunder"
"Attrib_Particle3029"		"Jarate Shock"
"Attrib_Particle3030"		"Nether Void"

// Smissmas 2019 Unusual Taunts
"Attrib_Particle3031"		"Good-Hearted Goodies"
"Attrib_Particle3032"		"Wintery Wisp"
"Attrib_Particle3033"		"Arctic Aurora"
"Attrib_Particle3034"		"Winter Spirit"
"Attrib_Particle3035"		"Festive Spirit"
"Attrib_Particle3036"		"Magical Spirit"

// Halloween 2020 Unusual Taunts
"Attrib_Particle3037"		"Spectral Escort"
"Attrib_Particle3038"		"Astral Presence"
"Attrib_Particle3039"		"Arcane Assistance"
"Attrib_Particle3040"		"Arcane Assistance"
"Attrib_Particle3041"		"Emerald Allurement"
"Attrib_Particle3042"		"Pyrophoric Personality"
"Attrib_Particle3043"		"Spellbound Aspect"
"Attrib_Particle3044"		"Static Shock"
"Attrib_Particle3045"		"Veno Shock"
"Attrib_Particle3046"		"Toxic Terrors"
"Attrib_Particle3047"		"Arachnid Assault"
"Attrib_Particle3048"		"Creepy Crawlies"

// Smissmas 2020 Unusual Taunts
"Attrib_Particle3049"		"Delightful Star"
"Attrib_Particle3050"		"Frosted Star"
"Attrib_Particle3051"		"Apotheosis"
"Attrib_Particle3052"		"Ascension"
"Attrib_Particle3053"		"Reindoonicorn Rancher"
"Attrib_Particle3054"		"Reindoonicorn Rancher"
"Attrib_Particle3055"		"Twinkling Lights"
"Attrib_Particle3056"		"Shimmering Lights"

// Halloween 2021 Unusual Taunts
"Attrib_Particle3059"		"Spectral Shackles"
"Attrib_Particle3060"		"Cursed Confinement"
"Attrib_Particle3061"		"Cavalier de Carte"
"Attrib_Particle3062"		"Cavalier de Carte"
"Attrib_Particle3063"		"Hollow Flourish"
"Attrib_Particle3064"		"Magic Shuffle"
"Attrib_Particle3065"		"Vigorous Pulse"
"Attrib_Particle3066"		"Thundering Spirit"
"Attrib_Particle3067"		"Galvanic Defiance"
"Attrib_Particle3068"		"Wispy Halos"
"Attrib_Particle3069"		"Nether Wisps"
"Attrib_Particle3070"		"Aurora Borealis"
"Attrib_Particle3071"		"Aurora Australis"
"Attrib_Particle3072"		"Aurora Polaris"

// Smissmas 2021 Unusual Taunts
"Attrib_Particle3073"		"Amethyst Winds"
"Attrib_Particle3074"		"Golden Gusts"
"Attrib_Particle3075"		"Smissmas Swirls"
"Attrib_Particle3076"		"Smissmas Swirls"
"Attrib_Particle3077"		"Minty Cypress"
"Attrib_Particle3078"		"Pristine Pine"
"Attrib_Particle3079"		"Sparkly Spruce"
"Attrib_Particle3080"		"Sparkly Spruce"
"Attrib_Particle3081"		"Festive Fever"
"Attrib_Particle3082"		"Festive Fever"
"Attrib_Particle3083"		"Golden Glimmer"
"Attrib_Particle3084"		"Frosty Silver"
"Attrib_Particle3085"		"Glamorous Dazzle"
"Attrib_Particle3086"		"Glamorous Dazzle"
"Attrib_Particle3087"		"Sublime Snowstorm"

// End Unusual taunt FX

"Attrib_KillStreakEffect"	"Killstreaker: %s1"
"Attrib_KillStreakEffect0"	"Invalid Killstreaker Effect"
//"Attrib_KillStreakEffect2001"	"NONE"
"Attrib_KillStreakEffect2002"	"Fire Horns"
"Attrib_KillStreakEffect2003"	"Cerebral Discharge"
"Attrib_KillStreakEffect2004"	"Tornado"
"Attrib_KillStreakEffect2005"	"Flames"
"Attrib_KillStreakEffect2006"	"Singularity"
"Attrib_KillStreakEffect2007"	"Incinerator"
"Attrib_KillStreakEffect2008"	"Hypno-Beam"

"Attrib_KillStreakIdleEffect"	"Sheen: %s1"
"Attrib_KillStreakIdleEffect0"	"Invalid Sheen Effect"
"Attrib_KillStreakIdleEffect1"	"Team Shine"
"Attrib_KillStreakIdleEffect2"	"Deadly Daffodil"
"Attrib_KillStreakIdleEffect3"	"Manndarin"
"Attrib_KillStreakIdleEffect4"	"Mean Green"
"Attrib_KillStreakIdleEffect5"	"Agonizing Emerald"
"Attrib_KillStreakIdleEffect6"	"Villainous Violet"
"Attrib_KillStreakIdleEffect7"	"Hot Rod"

"Attrib_KillStreakTier"			"Killstreaks Active"
